rl_state,best_action,state_value
P0_B0_R0_G0_O0,no_action,8.485562773912429
P0_B0_R0_G1_O0,perfusion_rescue,9.020984039797295
P0_B0_R0_G1_O1,mild_temp_shift,9.191951977149213
P0_B0_R0_G2_O0,no_action,9.326528820505745
P0_B0_R0_G3_O0,perfusion_rescue,9.43856272497645
P0_B0_R0_G3_O1,mild_temp_shift,9.190207504981586
P0_B0_R0_G3_O2,stress_mitigation,0.280838410173069
P0_B0_R1_G0_O0,perfusion_rescue,8.637879745300383
P0_B0_R1_G0_O1,no_action,8.354980392539487
P0_B0_R1_G1_O0,perfusion_rescue,8.948759390391471
P0_B0_R1_G1_O1,stress_mitigation,9.375900077349932
P0_B0_R1_G2_O0,perfusion_rescue,9.208350503435607
P0_B0_R1_G2_O1,no_action,9.152232749772699
P0_B0_R1_G3_O0,perfusion_rescue,9.330337808507533
P0_B0_R1_G3_O1,perfusion_rescue,9.282012981444318
P0_B0_R1_G3_O2,mild_temp_shift,9.009740945461642
P0_B0_R2_G0_O0,perfusion_rescue,8.027189181471472
P0_B0_R2_G1_O0,perfusion_rescue,8.886065265291954
P0_B0_R2_G2_O0,perfusion_rescue,8.468694232343472
P0_B0_R2_G2_O1,mild_temp_shift,9.06829234202613
P0_B0_R2_G3_O1,no_action,8.488411017089364
P0_B0_R3_G0_O0,perfusion_rescue,7.702456009522682
P0_B0_R3_G1_O0,perfusion_rescue,8.322986797430286
P0_B0_R3_G2_O0,perfusion_rescue,7.969089378581942
P0_B1_R0_G0_O0,no_action,8.648406626655419
P0_B1_R0_G0_O1,adaptive_feed,8.410757646145635
P0_B1_R0_G1_O1,mild_temp_shift,8.754160155487028
P0_B1_R0_G1_O2,no_action,0.0
P0_B1_R0_G2_O0,no_action,9.222771543352323
P0_B1_R0_G2_O1,mild_temp_shift,9.022561356708302
P0_B1_R0_G3_O1,mild_temp_shift,9.11049422505735
P0_B1_R1_G0_O0,mild_temp_shift,8.850339581741984
P0_B1_R1_G0_O1,mild_temp_shift,8.554189482098641
P0_B1_R1_G0_O2,mild_temp_shift,1.4909367830925624
P0_B1_R1_G0_O3,mild_temp_shift,1.4728302105578057
P0_B1_R1_G1_O0,stress_mitigation,9.18947500852163
P0_B1_R1_G1_O1,perfusion_rescue,9.086476905551567
P0_B1_R1_G1_O2,no_action,8.552381904618688
P0_B1_R1_G1_O3,no_action,8.482660812398748
P0_B1_R1_G2_O0,stress_mitigation,9.070419101628886
P0_B1_R1_G2_O1,stress_mitigation,9.012718307468814
P0_B1_R1_G2_O2,stress_mitigation,6.137560680988624
P0_B1_R1_G3_O0,perfusion_rescue,9.12765408234274
P0_B1_R1_G3_O1,adaptive_feed,9.133548263714857
P0_B1_R1_G3_O2,perfusion_rescue,8.901238249361835
P0_B1_R2_G0_O0,mild_temp_shift,8.47427144849868
P0_B1_R2_G0_O1,adaptive_feed,8.337513269442422
P0_B1_R2_G0_O2,no_action,7.856498277773421
P0_B1_R2_G1_O0,perfusion_rescue,8.746093215367976
P0_B1_R2_G1_O1,mild_temp_shift,8.52580489344743
P0_B1_R2_G1_O2,mild_temp_shift,8.094219035913186
P0_B1_R2_G2_O0,stress_mitigation,9.11244625210478
P0_B1_R2_G2_O1,mild_temp_shift,8.849400185982043
P0_B1_R2_G2_O2,mild_temp_shift,8.664820399461442
P0_B1_R2_G3_O0,adaptive_feed,8.993429197214937
P0_B1_R2_G3_O1,adaptive_feed,9.384221313352322
P0_B1_R2_G3_O2,stress_mitigation,9.047019374946231
P0_B1_R3_G0_O0,perfusion_rescue,7.403385632160952
P0_B1_R3_G0_O1,stress_mitigation,7.915369198685763
P0_B1_R3_G0_O2,perfusion_rescue,7.437005795299035
P0_B1_R3_G1_O0,perfusion_rescue,7.63172298034677
P0_B1_R3_G1_O1,mild_temp_shift,8.423260485986047
P0_B1_R3_G1_O2,no_action,0.33885291063570244
P0_B1_R3_G2_O0,perfusion_rescue,7.8992845664412545
P0_B1_R3_G2_O1,stress_mitigation,8.155916656286923
P0_B1_R3_G2_O2,no_action,2.7615923678982117
P0_B1_R3_G3_O2,mild_temp_shift,8.54431494916372
P0_B2_R0_G3_O1,stress_mitigation,8.856550774655425
P0_B2_R0_G3_O2,stress_mitigation,9.151868570379989
P0_B2_R1_G0_O1,mild_temp_shift,8.47210152280608
P0_B2_R1_G0_O2,perfusion_rescue,8.117102502143197
P0_B2_R1_G0_O3,stress_mitigation,7.278073951398279
P0_B2_R1_G1_O1,stress_mitigation,8.964498124115707
P0_B2_R1_G1_O2,mild_temp_shift,8.258936205119449
P0_B2_R1_G1_O3,perfusion_rescue,8.517441112360938
P0_B2_R1_G2_O1,no_action,8.486713370017451
P0_B2_R1_G2_O2,stress_mitigation,8.474464138987155
P0_B2_R1_G3_O0,no_action,8.700589282556406
P0_B2_R1_G3_O1,no_action,9.000281232895508
P0_B2_R1_G3_O2,no_action,8.776664076607023
P0_B2_R1_G3_O3,stress_mitigation,8.303135750122472
P0_B2_R2_G0_O1,no_action,7.784653153044648
P0_B2_R2_G0_O2,adaptive_feed,7.8486530423103655
P0_B2_R2_G0_O3,no_action,7.692465016895262
P0_B2_R2_G1_O0,perfusion_rescue,8.502865040214674
P0_B2_R2_G1_O1,perfusion_rescue,8.340692353895163
P0_B2_R2_G1_O2,perfusion_rescue,8.236027383031622
P0_B2_R2_G1_O3,no_action,7.575860484385766
P0_B2_R2_G2_O0,no_action,8.666037558370288
P0_B2_R2_G2_O1,mild_temp_shift,8.707037743707058
P0_B2_R2_G2_O2,mild_temp_shift,8.584137861259979
P0_B2_R2_G2_O3,stress_mitigation,8.23075495480785
P0_B2_R2_G3_O1,no_action,8.908554758036114
P0_B2_R2_G3_O2,perfusion_rescue,8.90320264561307
P0_B2_R2_G3_O3,mild_temp_shift,8.502684855344759
P0_B2_R3_G0_O1,adaptive_feed,7.64152455301224
P0_B2_R3_G0_O2,stress_mitigation,7.512420552242037
P0_B2_R3_G0_O3,stress_mitigation,6.957498374898273
P0_B2_R3_G1_O0,perfusion_rescue,8.462232423428082
P0_B2_R3_G1_O1,mild_temp_shift,7.942911667624607
P0_B2_R3_G1_O2,perfusion_rescue,7.707878953923419
P0_B2_R3_G1_O3,stress_mitigation,6.958670577440467
P0_B2_R3_G2_O0,perfusion_rescue,8.784713378514072
P0_B2_R3_G2_O1,stress_mitigation,8.065940799552237
P0_B2_R3_G2_O2,mild_temp_shift,8.058913657501385
P0_B2_R3_G2_O3,mild_temp_shift,7.687784305310933
P0_B2_R3_G3_O1,mild_temp_shift,7.801149521426156
P0_B2_R3_G3_O2,perfusion_rescue,8.52609098657598
P0_B2_R3_G3_O3,no_action,8.197081379718735
P0_B3_R1_G0_O2,no_action,7.5807223521482605
P0_B3_R1_G1_O2,no_action,8.02007756628741
P0_B3_R1_G1_O3,stress_mitigation,8.119366980036315
P0_B3_R1_G2_O2,no_action,8.137652198815264
P0_B3_R2_G0_O1,mild_temp_shift,7.5260018300763445
P0_B3_R2_G0_O2,stress_mitigation,7.759756919105669
P0_B3_R2_G0_O3,adaptive_feed,7.406552768119861
P0_B3_R2_G1_O1,mild_temp_shift,7.843660139412868
P0_B3_R2_G1_O2,perfusion_rescue,8.025862359847654
P0_B3_R2_G1_O3,stress_mitigation,7.715796461329011
P0_B3_R2_G2_O1,no_action,8.075553721566651
P0_B3_R2_G2_O2,stress_mitigation,8.034393621121
P0_B3_R2_G2_O3,adaptive_feed,7.200921025632214
P0_B3_R2_G3_O1,mild_temp_shift,7.78569362844803
P0_B3_R2_G3_O2,no_action,7.933964035665603
P0_B3_R2_G3_O3,mild_temp_shift,7.975588670024194
P0_B3_R3_G0_O2,perfusion_rescue,7.180264140734407
P0_B3_R3_G0_O3,perfusion_rescue,6.752602848058771
P0_B3_R3_G1_O1,stress_mitigation,7.60082601610951
P0_B3_R3_G1_O2,stress_mitigation,7.289279381188038
P0_B3_R3_G1_O3,perfusion_rescue,7.2492346759771165
P0_B3_R3_G2_O1,perfusion_rescue,7.68819876068879
P0_B3_R3_G2_O2,perfusion_rescue,7.695707166055794
P0_B3_R3_G2_O3,perfusion_rescue,7.033696037348924
P0_B3_R3_G3_O1,mild_temp_shift,8.127202442857328
P0_B3_R3_G3_O2,no_action,7.8261279387899965
P0_B3_R3_G3_O3,no_action,7.790777636737859
P1_B0_R0_G0_O0,adaptive_feed,8.74932024385778
P1_B0_R0_G0_O1,stress_mitigation,8.827572894347247
P1_B0_R0_G1_O0,mild_temp_shift,9.379688503726921
P1_B0_R0_G1_O1,mild_temp_shift,9.048411085879723
P1_B0_R0_G2_O0,adaptive_feed,9.588086280043386
P1_B0_R0_G2_O1,stress_mitigation,9.379248666266296
P1_B0_R0_G3_O0,adaptive_feed,9.609052183318793
P1_B0_R0_G3_O1,stress_mitigation,9.447548822163421
P1_B0_R0_G3_O2,no_action,0.0
P1_B0_R1_G0_O0,stress_mitigation,9.07672647432993
P1_B0_R1_G0_O1,mild_temp_shift,9.037060552044851
P1_B0_R1_G1_O0,adaptive_feed,9.392345749399635
P1_B0_R1_G1_O1,perfusion_rescue,9.159540272681799
P1_B0_R1_G2_O0,stress_mitigation,9.416073966074293
P1_B0_R1_G2_O1,no_action,9.416750919358885
P1_B0_R1_G3_O0,adaptive_feed,9.443164488297036
P1_B0_R1_G3_O1,stress_mitigation,9.593915887479229
P1_B0_R2_G0_O0,perfusion_rescue,8.137631443581897
P1_B0_R2_G0_O1,mild_temp_shift,8.367026327349363
P1_B0_R2_G1_O0,perfusion_rescue,8.79185895615767
P1_B0_R2_G2_O0,perfusion_rescue,8.772642613662134
P1_B0_R2_G3_O0,perfusion_rescue,9.205532859360593
P1_B0_R3_G0_O0,perfusion_rescue,7.7886678111012735
P1_B0_R3_G2_O1,no_action,1.6190714163064532
P1_B1_R0_G0_O0,mild_temp_shift,8.903732665588969
P1_B1_R0_G0_O1,perfusion_rescue,8.547127341912775
P1_B1_R0_G0_O2,stress_mitigation,8.773110745170563
P1_B1_R0_G1_O0,stress_mitigation,9.301290643337811
P1_B1_R0_G1_O1,stress_mitigation,8.976498829201672
P1_B1_R0_G1_O2,mild_temp_shift,0.21135982732577838
P1_B1_R0_G2_O0,adaptive_feed,9.450135307203942
P1_B1_R0_G2_O1,stress_mitigation,9.295595233584109
P1_B1_R0_G2_O2,mild_temp_shift,6.164574972330164
P1_B1_R0_G3_O0,no_action,9.494665476536163
P1_B1_R0_G3_O1,stress_mitigation,9.594636328377506
P1_B1_R0_G3_O2,no_action,0.0
P1_B1_R1_G0_O0,mild_temp_shift,9.056221838319127
P1_B1_R1_G0_O1,perfusion_rescue,8.573634781032917
P1_B1_R1_G0_O2,no_action,8.188033036164459
P1_B1_R1_G0_O3,no_action,0.0
P1_B1_R1_G1_O0,adaptive_feed,9.382541901700021
P1_B1_R1_G1_O1,perfusion_rescue,9.016624348694666
P1_B1_R1_G1_O2,stress_mitigation,8.827361218026201
P1_B1_R1_G1_O3,adaptive_feed,7.279347982633343
P1_B1_R1_G2_O0,mild_temp_shift,9.223940644797455
P1_B1_R1_G2_O1,adaptive_feed,9.21161089289131
P1_B1_R1_G2_O2,stress_mitigation,9.100385762622185
P1_B1_R1_G3_O0,adaptive_feed,9.355010548114851
P1_B1_R1_G3_O1,adaptive_feed,9.351003267989325
P1_B1_R1_G3_O2,stress_mitigation,9.06270021999207
P1_B1_R2_G0_O0,no_action,8.406446998821508
P1_B1_R2_G0_O1,perfusion_rescue,8.69812884349438
P1_B1_R2_G0_O2,perfusion_rescue,8.259375622980121
P1_B1_R2_G1_O0,perfusion_rescue,8.523908208851042
P1_B1_R2_G1_O1,perfusion_rescue,8.680295455665028
P1_B1_R2_G1_O2,adaptive_feed,7.552171854108773
P1_B1_R2_G2_O0,perfusion_rescue,9.206648551343916
P1_B1_R2_G2_O1,perfusion_rescue,8.9579768732728
P1_B1_R2_G2_O2,mild_temp_shift,8.799774608162927
P1_B1_R2_G3_O0,perfusion_rescue,9.225805331720393
P1_B1_R2_G3_O1,adaptive_feed,9.299158762338392
P1_B1_R2_G3_O2,mild_temp_shift,8.796224646090566
P1_B1_R3_G0_O0,no_action,7.631466193645614
P1_B1_R3_G0_O1,perfusion_rescue,8.042838181677027
P1_B1_R3_G1_O0,perfusion_rescue,7.7615043613798065
P1_B1_R3_G1_O1,perfusion_rescue,7.951701805789763
P1_B1_R3_G2_O1,no_action,5.641692627012925
P1_B1_R3_G2_O2,no_action,5.38926825664818
P1_B1_R3_G3_O1,no_action,0.0
P1_B2_R0_G0_O0,adaptive_feed,7.85230874481892
P1_B2_R0_G2_O0,no_action,9.254149266403813
P1_B2_R0_G2_O1,stress_mitigation,9.271011183389119
P1_B2_R0_G2_O2,stress_mitigation,6.0264730608947525
P1_B2_R0_G3_O2,mild_temp_shift,9.391311564559828
P1_B2_R1_G0_O0,perfusion_rescue,8.428219626622838
P1_B2_R1_G0_O1,stress_mitigation,8.463859341145731
P1_B2_R1_G0_O2,perfusion_rescue,8.197002573852519
P1_B2_R1_G0_O3,mild_temp_shift,7.625956117186359
P1_B2_R1_G1_O1,perfusion_rescue,8.916358845393058
P1_B2_R1_G1_O2,stress_mitigation,8.456796629790244
P1_B2_R1_G1_O3,stress_mitigation,8.14971152727131
P1_B2_R1_G2_O1,adaptive_feed,8.9136262113704
P1_B2_R1_G2_O2,no_action,8.736168134045034
P1_B2_R1_G3_O0,no_action,9.001346812381222
P1_B2_R1_G3_O1,mild_temp_shift,8.998080297908515
P1_B2_R1_G3_O2,stress_mitigation,8.902657859012487
P1_B2_R1_G3_O3,adaptive_feed,5.952432016180538
P1_B2_R2_G0_O1,perfusion_rescue,8.28877062114838
P1_B2_R2_G0_O2,perfusion_rescue,8.045495801226968
P1_B2_R2_G0_O3,perfusion_rescue,7.73291641258758
P1_B2_R2_G1_O1,perfusion_rescue,8.359514306121799
P1_B2_R2_G1_O2,mild_temp_shift,8.165579452399587
P1_B2_R2_G1_O3,adaptive_feed,7.49522445017888
P1_B2_R2_G2_O0,perfusion_rescue,9.095368092021548
P1_B2_R2_G2_O1,adaptive_feed,8.576466138113163
P1_B2_R2_G2_O2,perfusion_rescue,8.720606210632234
P1_B2_R2_G2_O3,stress_mitigation,8.367690892465495
P1_B2_R2_G3_O1,perfusion_rescue,8.994960037142654
P1_B2_R2_G3_O2,no_action,8.62932401169694
P1_B2_R2_G3_O3,adaptive_feed,5.854901523831357
P1_B2_R3_G0_O1,mild_temp_shift,7.898914791163191
P1_B2_R3_G0_O2,mild_temp_shift,7.692310477444465
P1_B2_R3_G0_O3,stress_mitigation,7.310566509106739
P1_B2_R3_G1_O1,stress_mitigation,7.883318282850521
P1_B2_R3_G1_O2,no_action,7.302653367968958
P1_B2_R3_G1_O3,adaptive_feed,7.039503974626015
P1_B2_R3_G2_O1,stress_mitigation,8.65543405686795
P1_B2_R3_G2_O2,stress_mitigation,8.246274992267042
P1_B2_R3_G2_O3,adaptive_feed,6.873524881862834
P1_B2_R3_G3_O1,mild_temp_shift,8.5276215088096
P1_B2_R3_G3_O2,no_action,7.64915570368466
P1_B2_R3_G3_O3,adaptive_feed,5.416628695173208
P1_B3_R1_G0_O2,no_action,7.566078136271183
P1_B3_R1_G0_O3,stress_mitigation,7.778711256557523
P1_B3_R1_G1_O1,no_action,7.826999146375774
P1_B3_R1_G1_O2,stress_mitigation,8.346749267763043
P1_B3_R1_G1_O3,stress_mitigation,7.660517987984201
P1_B3_R1_G2_O2,no_action,7.899771039498767
P1_B3_R1_G2_O3,adaptive_feed,6.140681127992666
P1_B3_R2_G0_O1,perfusion_rescue,7.936200173412027
P1_B3_R2_G0_O2,perfusion_rescue,7.831354340570586
P1_B3_R2_G0_O3,stress_mitigation,7.018784534058155
P1_B3_R2_G1_O1,no_action,8.019797575839926
P1_B3_R2_G1_O2,no_action,7.749382584925675
P1_B3_R2_G1_O3,no_action,7.045248778705923
P1_B3_R2_G2_O1,no_action,8.079661093153424
P1_B3_R2_G2_O2,perfusion_rescue,8.15548273459719
P1_B3_R2_G2_O3,stress_mitigation,6.944657068127
P1_B3_R2_G3_O1,no_action,7.8895557901967805
P1_B3_R2_G3_O2,no_action,7.911384633392724
