clone_id,overall_score,score_productivity,score_quality,score_stability,omics_score,rl_robustness_score,decision,bottleneck,recommended_intervention,post_engineering_score,engineering_gain,success_probability,off_target_risk,engineering_complexity,engineering_success,realized_gain,engineering_confidence,expected_net_benefit,portfolio_group,titer_before_g_L,qp_before_pg_cell_day,stability_before_pct,quality_before_pct,experimental_outcome,response_multiplier,base_titer_frac,base_qp_frac,base_stability_delta,base_quality_delta,titer_after_g_L,qp_after_pg_cell_day,stability_after_pct,quality_after_pct,delta_titer_g_L,delta_qp_pg_cell_day,delta_stability_pct,delta_quality_pct,experimental_roi_score,engineering_result_class
CLONE_4625,59.32392365821394,100.0,69.8501736323647,83.06531282168443,17.302239505151018,58.42289461086479,Advance,omics,PDI_folding_support,75.31735196423641,15.993428306022466,0.75,0.2,0.45,True,15.993428306022466,0.33,11.99507122951685,Other,6.624178538252808,40.41772719000951,91.49316679402018,84.8521737070387,partial_success,0.5,0.06,0.06,1.0,6.0,6.882501653773122,41.70104803507687,91.53942773535525,87.83849929312284,0.25832311552031406,1.2833208450673652,0.04626094133506342,2.986325586084135,1.8947240630577311,Neutral / Small Change
CLONE_4878,51.05508444227361,79.67901521320374,66.38130750142959,69.20424037211697,11.83380821687394,63.761371957845505,Advance,omics,PDI_folding_support,65.77855583993124,14.723471397657631,0.75,0.2,0.45,False,-3.6980051308364152,0.33,11.042603548243225,Other,5.4493846853673915,29.577944620465644,89.42689865303245,82.73125731906809,negative_tradeoff,-0.35,0.06,0.06,1.0,6.0,5.274598438628235,25.83983492989341,91.02386413675346,80.11958844541884,-0.17478624673915633,-3.7381096905722337,1.5969654837210072,-2.6116688736492506,-5.594831635738652,Negative Outcome
CLONE_3895,42.86293597148463,1.1703722315805307,98.96416958189084,82.26746766370856,28.517580132954468,79.47907422797432,Advance,productivity,XBP1s_secretory_support,60.658313047686015,17.795377076201383,0.8,0.15,0.4,True,17.795377076201383,0.408,14.236301660961107,High Gain / Low Risk,1.7204407461041997,5.718147016308908,86.02214750402976,92.72740879379607,neutral,0.05,0.14,0.16,1.0,0.5,1.8542795555895986,3.7458814575183443,81.84252984789515,89.57425197084751,0.13383880948539884,-1.9722655587905638,-4.17961765613461,-3.15315682294856,-3.3458424791619397,Negative Outcome
CLONE_3895,42.63142518414841,1.1703722315805307,98.60766154347588,82.26746766370856,28.517580132954468,78.90260187649389,Advance with Monitoring,productivity,XBP1s_secretory_support,62.177484896964465,19.546059712816053,0.8,0.15,0.4,True,19.546059712816053,0.408,15.636847770252842,High Gain / Low Risk,1.939276075681033,8.768241585844017,92.9054427209597,96.36219009736143,partial_success,0.5,0.14,0.16,1.0,0.5,2.3709046299197456,9.725535679378925,94.33829647752253,96.2724192841876,0.4316285542387126,0.9572940935349088,1.4328537565628352,-0.0897708131738284,2.9631756258778976,Neutral / Small Change
CLONE_3895,42.595721785903784,1.1703722315805307,98.96416958189084,82.26746766370856,26.736152229082144,79.47907422797432,Advance with Monitoring,productivity,XBP1s_secretory_support,58.62741503645711,16.031693250553325,0.8,0.15,0.4,True,16.031693250553325,0.408,12.82535460044266,High Gain / Low Risk,1.4999802678981926,9.85145227409659,91.43573184868559,96.6854116442762,strong_success,1.0,0.14,0.16,1.0,0.5,1.6563969192537307,12.491052972711726,92.26630245104285,96.97575695918775,0.15641665135553806,2.6396006986151352,0.8305706023572554,0.2903453149115478,1.7153226093305862,Neutral / Small Change
CLONE_3895,42.364210998567565,1.1703722315805307,98.60766154347588,82.26746766370856,26.736152229082144,78.90260187649389,Advance with Monitoring,productivity,XBP1s_secretory_support,58.39593708466921,16.031726086101642,0.8,0.15,0.4,True,16.031726086101642,0.408,12.825380868881314,High Gain / Low Risk,1.4999843723417314,8.71725567648571,90.66362301127751,100.0,strong_success,1.0,0.14,0.16,1.0,0.5,1.6564048634042003,10.329841355964193,90.9151119855787,100.0,0.1564204910624689,1.6125856794784834,0.2514889743011963,0.0,0.8817875797621404,Neutral / Small Change
CLONE_0080,42.12601933384872,0.296048871677585,89.43992634436906,88.80894864826537,27.907133514891804,72.04442950532908,Advance with Monitoring,productivity,XBP1s_secretory_support,61.784444964863496,19.65842563101478,0.8,0.15,0.4,True,19.65842563101478,0.408,15.726740504811824,High Gain / Low Risk,1.909605647460727,7.863439074160346,93.93092203941184,92.18004713507275,strong_success,1.0,0.14,0.16,1.0,0.5,2.484199775793134,8.91273142660992,94.7685632042151,92.09150568790108,0.574594128332407,1.0492923524495739,0.8376411648032587,-0.08854144717167856,4.013603367536896,Moderate Improvement
CLONE_1633,40.895250639742024,0.3936822911513712,93.34381096572774,84.79198058803428,30.25737138206338,64.6809601461301,Advance with Monitoring,productivity,XBP1s_secretory_support,58.93012009804784,18.03486945830582,0.8,0.15,0.4,False,2.789276536140751,0.408,14.427895566644658,High Gain / Low Risk,1.7115427968457957,7.523770941989861,88.24581479425125,94.80749529027288,negative_tradeoff,-0.35,0.14,0.16,1.0,0.5,1.7734622030451273,6.616927256615542,84.61446142234992,94.78481630377331,0.06191940619933156,-0.9068436853743194,-3.6313533719013265,-0.022678986499570897,-2.362259051230163,Negative Outcome
CLONE_3249,40.267179404649525,3.014993727680349,89.33157248727417,88.18081788881472,23.48359876287283,67.73777252969093,Advance with Monitoring,productivity,XBP1s_secretory_support,55.82823063277962,15.561051228130095,0.8,0.15,0.4,True,15.561051228130095,0.408,12.448840982504075,Other,1.5333810899002793,6.007754012122857,93.06936702207456,92.44983690524465,partial_success,0.5,0.14,0.16,1.0,0.5,1.5399226741017573,4.243556454486992,92.93985919031829,92.3477692506868,0.00654158420147799,-1.7641975576358648,-0.12950783175627123,-0.10206765455785671,-2.4640797325482273,Negative Outcome
CLONE_3269,39.71449448177784,3.635013515382711,88.24408909545937,87.79429461395057,26.77414261882441,66.74153417363561,Advance with Monitoring,productivity,XBP1s_secretory_support,57.29961456894977,17.58512008717193,0.8,0.15,0.4,True,17.58512008717193,0.408,14.068096069737544,High Gain / Low Risk,1.8173906866656269,7.7235159081330504,94.07605709632472,89.72516134485389,neutral,0.05,0.14,0.16,1.0,0.5,1.9304461720994837,6.670781901219454,94.36172595359234,87.6971442884246,0.1130554854338568,-1.0527340069135969,0.28566885726762337,-2.0280170564292916,-1.5627835704677209,Neutral / Small Change
