clone_id,overall_score,score_productivity,score_quality,score_stability,omics_score,rl_robustness_score,decision,bottleneck,recommended_intervention,post_engineering_score,engineering_gain,success_probability,off_target_risk,engineering_complexity,engineering_success,realized_gain,engineering_confidence,expected_net_benefit,portfolio_group,titer_before_g_L,qp_before_pg_cell_day,stability_before_pct,quality_before_pct,experimental_outcome,response_multiplier,base_titer_frac,base_qp_frac,base_stability_delta,base_quality_delta,titer_after_g_L,qp_after_pg_cell_day,stability_after_pct,quality_after_pct,delta_titer_g_L,delta_qp_pg_cell_day,delta_stability_pct,delta_quality_pct,experimental_roi_score,engineering_result_class,nb18_overall_score,nb18_score_productivity,nb18_score_quality,nb18_score_stability,nb18_omics_score,nb18_rl_robustness_score,nb18_decision,risk_overall_score,risk_score_productivity,risk_score_quality,risk_score_stability,risk_omics_score,risk_rl_robustness_score,risk_decision,risk_bottleneck,risk_recommended_intervention,risk_post_engineering_score,risk_engineering_gain,risk_success_probability,risk_off_target_risk,risk_engineering_complexity,risk_engineering_success,risk_realized_gain,risk_engineering_confidence,risk_expected_net_benefit,risk_portfolio_group,learn_overall_score,learn_score_productivity,learn_score_quality,learn_score_stability,learn_omics_score,learn_rl_robustness_score,learn_decision,learn_bottleneck,learn_recommended_intervention,learn_post_engineering_score,learn_engineering_gain,learn_success_probability,learn_off_target_risk,learn_engineering_complexity,learn_engineering_success,learn_realized_gain,learn_engineering_confidence,learn_expected_net_benefit,learn_portfolio_group,learn_titer_before_g_L,learn_qp_before_pg_cell_day,learn_stability_before_pct,learn_quality_before_pct,learn_experimental_outcome,learn_response_multiplier,learn_base_titer_frac,learn_base_qp_frac,learn_base_stability_delta,learn_base_quality_delta,learn_titer_after_g_L,learn_qp_after_pg_cell_day,learn_stability_after_pct,learn_quality_after_pct,learn_delta_titer_g_L,learn_delta_qp_pg_cell_day,learn_delta_stability_pct,learn_delta_quality_pct,learn_experimental_roi_score,learn_engineering_result_class,learn_predicted_score,learn_observed_score,learn_prediction_error,learn_observed_success,pareto_selected,score_titer_final,score_qp_final,score_stability_final,score_quality_final,score_roi_final,score_pareto_final,score_learning_final,final_sdl_score,pareto_label,clone_archetype,clone_archetype_reason,upstream_process_strategy,final_platform_recommendation
CLONE_1091,36.18652014344423,0.0547659822041508,81.82352802506934,83.12342360907665,17.252198536240044,57.16701743307742,Engineer,productivity,XBP1s_secretory_support,56.3910765124621,20.204556369017872,0.8,0.15,0.4,True,20.204556369017872,0.408,16.1636450952143,High Gain / Low Risk,1.965807845237442,10.024590910089376,89.98234643300589,86.9041531376612,strong_success,1.0,0.14,0.16,1.0,0.5,2.6026304451689035,13.08871414344631,89.47893052917347,85.25785666301027,0.6368225999314614,3.064123233356934,-0.5034159038324191,-1.6462964746509243,4.995626644845016,Moderate Improvement,36.18652014344423,0.0547659822041508,81.82352802506934,83.12342360907665,17.252198536240044,57.16701743307742,Engineer,36.18652014344423,0.0547659822041508,81.82352802506934,83.12342360907665,17.252198536240044,57.16701743307742,Engineer,productivity,XBP1s_secretory_support,56.3910765124621,20.204556369017872,0.8,0.15,0.4,True,20.204556369017872,0.408,16.1636450952143,High Gain / Low Risk,36.18652014344423,0.0547659822041508,81.82352802506934,83.12342360907665,17.252198536240044,57.16701743307742,Engineer,productivity,XBP1s_secretory_support,56.3910765124621,20.204556369017872,0.8,0.15,0.4,True,20.204556369017872,0.408,16.1636450952143,High Gain / Low Risk,1.965807845237442,10.024590910089376,89.98234643300589,86.9041531376612,strong_success,1.0,0.14,0.16,1.0,0.5,2.6026304451689035,13.08871414344631,89.47893052917347,85.25785666301027,0.6368225999314614,3.064123233356934,-0.5034159038324191,-1.6462964746509243,4.995626644845016,Moderate Improvement,56.3910765124621,61.38670315730712,4.995626644845018,1,1,27.876601460929507,24.828372818541578,32.55644304078541,25.84588454562144,100.0,100,10.768447726373296,40.76459227760476,Pareto-selected,REJECT,Low priority based on final SDL profile,Engineering-Supported Fed-Batch,Reject
CLONE_0080,42.12601933384872,0.296048871677585,89.43992634436906,88.80894864826537,27.907133514891804,72.04442950532908,Advance with Monitoring,productivity,XBP1s_secretory_support,61.784444964863496,19.65842563101478,0.8,0.15,0.4,True,19.65842563101478,0.408,15.726740504811824,High Gain / Low Risk,1.909605647460727,7.863439074160346,93.93092203941184,92.18004713507275,strong_success,1.0,0.14,0.16,1.0,0.5,2.484199775793134,8.91273142660992,94.7685632042151,92.09150568790108,0.574594128332407,1.049292352449574,0.8376411648032587,-0.0885414471716785,4.013603367536896,Moderate Improvement,42.12601933384872,0.296048871677585,89.43992634436906,88.80894864826537,27.907133514891804,72.04442950532908,Advance with Monitoring,42.12601933384872,0.296048871677585,89.43992634436906,88.80894864826537,27.907133514891804,72.04442950532908,Advance with Monitoring,productivity,XBP1s_secretory_support,61.784444964863496,19.65842563101478,0.8,0.15,0.4,True,19.65842563101478,0.408,15.726740504811824,High Gain / Low Risk,42.12601933384872,0.296048871677585,89.43992634436906,88.80894864826537,27.907133514891804,72.04442950532908,Advance with Monitoring,productivity,XBP1s_secretory_support,61.784444964863496,19.65842563101478,0.8,0.15,0.4,True,19.65842563101478,0.408,15.726740504811824,High Gain / Low Risk,1.909605647460727,7.863439074160346,93.93092203941184,92.18004713507275,strong_success,1.0,0.14,0.16,1.0,0.5,2.484199775793134,8.91273142660992,94.7685632042151,92.09150568790108,0.574594128332407,1.049292352449574,0.8376411648032587,-0.0885414471716785,4.013603367536896,Moderate Improvement,61.784444964863496,65.7980483324004,4.013603367536902,1,1,25.880835245005652,13.85704076659517,67.95837922537406,60.21966501857189,90.72728250949687,100,28.416609020896686,51.79373791489036,Pareto-selected,DEVELOPMENT,Moderate candidate requiring engineering or process optimization,Engineering-Supported Fed-Batch,Engineer / Optimize
CLONE_3895,42.63142518414841,1.1703722315805307,98.60766154347588,82.26746766370856,28.517580132954468,78.90260187649389,Advance with Monitoring,productivity,XBP1s_secretory_support,62.177484896964465,19.546059712816053,0.8,0.15,0.4,True,19.546059712816053,0.408,15.636847770252842,High Gain / Low Risk,1.939276075681033,8.768241585844017,92.9054427209597,96.36219009736143,partial_success,0.5,0.14,0.16,1.0,0.5,2.3709046299197456,9.725535679378924,94.33829647752252,96.2724192841876,0.4316285542387126,0.9572940935349088,1.4328537565628352,-0.0897708131738284,2.9631756258778976,Neutral / Small Change,42.86293597148463,1.1703722315805307,98.96416958189084,82.26746766370856,28.517580132954468,79.47907422797432,Advance,42.63142518414841,1.1703722315805307,98.60766154347588,82.26746766370856,28.517580132954468,78.90260187649389,Advance with Monitoring,productivity,XBP1s_secretory_support,62.177484896964465,19.546059712816053,0.8,0.15,0.4,True,19.546059712816053,0.408,15.636847770252842,High Gain / Low Risk,42.63142518414841,1.1703722315805307,98.60766154347588,82.26746766370856,28.517580132954468,78.90260187649389,Advance with Monitoring,productivity,XBP1s_secretory_support,62.177484896964465,19.546059712816053,0.8,0.15,0.4,True,19.546059712816053,0.408,15.636847770252842,High Gain / Low Risk,1.939276075681033,8.768241585844017,92.9054427209597,96.36219009736143,partial_success,0.5,0.14,0.16,1.0,0.5,2.3709046299197456,9.725535679378924,94.33829647752252,96.2724192841876,0.4316285542387126,0.9572940935349088,1.4328537565628352,-0.0897708131738284,2.9631756258778976,Neutral / Small Change,62.177484896964465,65.14066052284237,2.963175625877902,0,1,23.971611681936476,15.992477130929217,65.07873216167646,81.24998214660488,80.8086584629357,100,47.29408233686119,55.206711740332395,Pareto-selected,DEVELOPMENT,Moderate candidate requiring engineering or process optimization,Engineering-Supported Fed-Batch,Engineer / Optimize
CLONE_0894,38.45727910402831,3.201970794830738,77.53160941188307,88.88726222629082,18.321967992344543,74.30955574844299,Engineer,productivity,XBP1s_secretory_support,55.585773769218854,17.128494665190544,0.8,0.15,0.4,True,17.128494665190544,0.408,13.702795732152437,High Gain / Low Risk,1.7386603728903554,10.247983232027572,94.80369451221722,91.94418720461086,partial_success,0.5,0.14,0.16,1.0,0.5,1.9153920938337288,11.939220399306956,95.77359566188726,95.17987064332584,0.1767317209433734,1.6912371672793842,0.9699011496700364,3.235683438714972,2.0799922150108694,Neutral / Small Change,38.45727910402831,3.201970794830738,77.53160941188307,88.88726222629082,18.321967992344543,74.30955574844299,Engineer,38.45727910402831,3.201970794830738,77.53160941188307,88.88726222629082,18.321967992344543,74.30955574844299,Engineer,productivity,XBP1s_secretory_support,55.585773769218854,17.128494665190544,0.8,0.15,0.4,True,17.128494665190544,0.408,13.702795732152437,High Gain / Low Risk,38.45727910402831,3.201970794830738,77.53160941188307,88.88726222629082,18.321967992344543,74.30955574844299,Engineer,productivity,XBP1s_secretory_support,55.585773769218854,17.128494665190544,0.8,0.15,0.4,True,17.128494665190544,0.408,13.702795732152437,High Gain / Low Risk,1.7386603728903554,10.247983232027572,94.80369451221722,91.94418720461086,partial_success,0.5,0.14,0.16,1.0,0.5,1.9153920938337288,11.939220399306956,95.77359566188726,95.17987064332584,0.1767317209433734,1.6912371672793842,0.9699011496700364,3.235683438714972,2.0799922150108694,Neutral / Small Change,55.585773769218854,57.66576598422972,2.0799922150108685,0,1,16.295419904570164,21.808370482865705,74.68476215510557,75.7543784069026,72.46923265653564,100,63.165970150308965,56.39396902608486,Pareto-selected,DEVELOPMENT,Moderate candidate requiring engineering or process optimization,Engineering-Supported Fed-Batch,Engineer / Optimize
CLONE_3527,36.41136909857655,2.716301966172691,85.78047881399388,86.04884876251411,18.260070619115712,61.28309742296428,Engineer,productivity,XBP1s_secretory_support,52.32798159898999,15.916612500413445,0.8,0.15,0.4,True,15.916612500413445,0.408,12.733290000330756,Other,1.5628916608603154,11.581696686316906,91.85727188422464,90.38367806946609,strong_success,1.0,0.14,0.16,1.0,0.5,1.716324730948233,15.41701056389542,91.9263039000766,90.10058579515756,0.1534330700879176,3.835313877578514,0.0690320158519597,-0.2830922743085153,2.07513782263631,Neutral / Small Change,36.41136909857655,2.716301966172691,85.78047881399388,86.04884876251411,18.260070619115712,61.28309742296428,Engineer,36.41136909857655,2.716301966172691,85.78047881399388,86.04884876251411,18.260070619115712,61.28309742296428,Engineer,productivity,XBP1s_secretory_support,52.32798159898999,15.916612500413445,0.8,0.15,0.4,True,15.916612500413445,0.408,12.733290000330756,Other,36.41136909857655,2.716301966172691,85.78047881399388,86.04884876251411,18.260070619115712,61.28309742296428,Engineer,productivity,XBP1s_secretory_support,52.32798159898999,15.916612500413445,0.8,0.15,0.4,True,15.916612500413445,0.408,12.733290000330756,Other,1.5628916608603154,11.581696686316906,91.85727188422464,90.38367806946609,strong_success,1.0,0.14,0.16,1.0,0.5,1.716324730948233,15.41701056389542,91.9263039000766,90.10058579515756,0.1534330700879176,3.835313877578514,0.0690320158519597,-0.2830922743085153,2.07513782263631,Neutral / Small Change,52.32798159898999,54.4031194216263,2.0751378226363073,0,1,12.940782802255415,30.945379251809875,48.93598415814524,50.20518474849549,72.42339524094939,100,63.253209528023106,48.11559846902318,Pareto-selected,DEVELOPMENT,Moderate candidate requiring engineering or process optimization,Engineering-Supported Fed-Batch,Engineer / Optimize
CLONE_1437,36.14339083561131,5.598173423220868,85.23929116210928,82.58064903454235,19.731967311188075,59.47617938353612,Engineer,productivity,XBP1s_secretory_support,52.61639638613544,16.473005550524135,0.8,0.15,0.4,True,16.473005550524135,0.408,13.178404440419309,High Gain / Low Risk,1.77653436497656,10.514687545525948,91.05807520979408,91.25542215729416,strong_success,1.0,0.14,0.16,1.0,0.5,2.014555326483297,12.692175496426682,91.51614664229506,91.79661205920036,0.238020961506737,2.177487950900735,0.4580714325009865,0.5411899019061934,2.0604757961961315,Neutral / Small Change,36.14339083561131,5.598173423220868,85.23929116210928,82.58064903454235,19.731967311188075,59.47617938353612,Engineer,36.14339083561131,5.598173423220868,85.23929116210928,82.58064903454235,19.731967311188075,59.47617938353612,Engineer,productivity,XBP1s_secretory_support,52.61639638613544,16.473005550524135,0.8,0.15,0.4,True,16.473005550524135,0.408,13.178404440419309,High Gain / Low Risk,36.14339083561131,5.598173423220868,85.23929116210928,82.58064903454235,19.731967311188075,59.47617938353612,Engineer,productivity,XBP1s_secretory_support,52.61639638613544,16.473005550524135,0.8,0.15,0.4,True,16.473005550524135,0.408,13.178404440419309,High Gain / Low Risk,1.77653436497656,10.514687545525948,91.05807520979408,91.25542215729416,strong_success,1.0,0.14,0.16,1.0,0.5,2.014555326483297,12.692175496426682,91.51614664229506,91.79661205920036,0.238020961506737,2.177487950900735,0.4580714325009865,0.5411899019061934,2.0604757961961315,Neutral / Small Change,52.61639638613544,54.67687218233157,2.0604757961961297,0,1,17.966495738447847,23.786568418743254,46.19092378105318,58.73632737291452,72.2849496132747,100,63.51670410447563,48.7900836444239,Pareto-selected,DEVELOPMENT,Moderate candidate requiring engineering or process optimization,Engineering-Supported Fed-Batch,Engineer / Optimize
CLONE_4625,59.32392365821394,100.0,69.8501736323647,83.06531282168443,17.302239505151018,58.42289461086479,Advance,omics,PDI_folding_support,75.31735196423641,15.993428306022466,0.75,0.2,0.45,True,15.993428306022466,0.33,11.99507122951685,Other,6.624178538252808,40.41772719000951,91.49316679402018,84.8521737070387,partial_success,0.5,0.06,0.06,1.0,6.0,6.882501653773122,41.70104803507687,91.53942773535525,87.83849929312284,0.258323115520314,1.2833208450673652,0.0462609413350634,2.986325586084135,1.8947240630577311,Neutral / Small Change,59.32392365821394,100.0,69.8501736323647,83.06531282168443,17.302239505151018,58.42289461086479,Advance,59.32392365821394,100.0,69.8501736323647,83.06531282168443,17.302239505151018,58.42289461086479,Advance,omics,PDI_folding_support,75.31735196423641,15.993428306022466,0.75,0.2,0.45,True,15.993428306022466,0.33,11.99507122951685,Other,59.32392365821394,100.0,69.8501736323647,83.06531282168443,17.302239505151018,58.42289461086479,Advance,omics,PDI_folding_support,75.31735196423641,15.993428306022466,0.75,0.2,0.45,True,15.993428306022466,0.33,11.99507122951685,Other,6.624178538252808,40.41772719000951,91.49316679402018,84.8521737070387,partial_success,0.5,0.06,0.06,1.0,6.0,6.882501653773122,41.70104803507687,91.53942773535525,87.83849929312284,0.258323115520314,1.2833208450673652,0.0462609413350634,2.986325586084135,1.8947240630577311,Neutral / Small Change,75.31735196423641,77.21207602729415,1.8947240630577369,0,1,100.00000000000001,100.0,46.34673720354529,38.82671556628455,70.7198451697561,100,66.4954657986909,73.81488587249645,Pareto-selected,SUPER,"High titer, high qP, stable, and strong quality",Standard Fed-Batch Scale-Up,Advance to Process Development
CLONE_0834,37.281411382074566,5.982796858488476,77.8927211795186,86.55373733386386,23.478992430959757,59.34777545328286,Engineer,productivity,XBP1s_secretory_support,53.916467791450415,16.63505640937585,0.8,0.15,0.4,True,16.63505640937585,0.408,13.30804512750068,High Gain / Low Risk,1.8160218940964048,10.57702185752344,92.10620388060396,84.61361603326554,strong_success,1.0,0.14,0.16,1.0,0.5,2.075598501684053,12.71864390347368,92.21804165090572,82.48762088666635,0.259576607587648,2.141622045950239,0.1118377703017614,-2.125995146599194,1.458046744196969,Neutral / Small Change,37.281411382074566,5.982796858488476,77.8927211795186,86.55373733386386,23.478992430959757,59.34777545328286,Engineer,37.281411382074566,5.982796858488476,77.8927211795186,86.55373733386386,23.478992430959757,59.34777545328286,Engineer,productivity,XBP1s_secretory_support,53.916467791450415,16.63505640937585,0.8,0.15,0.4,True,16.63505640937585,0.408,13.30804512750068,High Gain / Low Risk,37.281411382074566,5.982796858488476,77.8927211795186,86.55373733386386,23.478992430959757,59.34777545328286,Engineer,productivity,XBP1s_secretory_support,53.916467791450415,16.63505640937585,0.8,0.15,0.4,True,16.63505640937585,0.408,13.30804512750068,High Gain / Low Risk,1.8160218940964048,10.57702185752344,92.10620388060396,84.61361603326554,strong_success,1.0,0.14,0.16,1.0,0.5,2.075598501684053,12.71864390347368,92.21804165090572,82.48762088666635,0.259576607587648,2.141622045950239,0.1118377703017614,-2.125995146599194,1.458046744196969,Neutral / Small Change,53.916467791450415,55.374514535647386,1.4580467441969702,0,1,18.99518119146881,23.856107423640932,50.888498041806635,11.911385409432471,66.59653617507965,100,74.3430921584649,43.435822604970554,Pareto-selected,REJECT,Low priority based on final SDL profile,Engineering-Supported Fed-Batch,Reject
CLONE_4425,37.88027675796117,1.9923209927297865,87.05763858093508,82.69278901513675,22.144867457329408,68.15724284147811,Engineer,productivity,XBP1s_secretory_support,57.31157429580428,19.431297537843108,0.8,0.15,0.4,True,19.431297537843108,0.408,15.545038030274489,High Gain / Low Risk,1.9660282418668775,6.959107671228254,90.01915363799726,91.763510934168,partial_success,0.5,0.14,0.16,1.0,0.5,2.3879328454934696,6.22569401557203,89.16607399718124,91.86298798179948,0.4219046036265919,-0.7334136556562241,-0.85307964081602,0.099477047631467,1.3467879873228623,Neutral / Small Change,37.88027675796117,1.9923209927297865,87.05763858093508,82.69278901513675,22.144867457329408,68.15724284147811,Engineer,37.88027675796117,1.9923209927297865,87.05763858093508,82.69278901513675,22.144867457329408,68.15724284147811,Engineer,productivity,XBP1s_secretory_support,57.31157429580428,19.431297537843108,0.8,0.15,0.4,True,19.431297537843108,0.408,15.545038030274489,High Gain / Low Risk,37.88027675796117,1.9923209927297865,87.05763858093508,82.69278901513675,22.144867457329408,68.15724284147811,Engineer,productivity,XBP1s_secretory_support,57.31157429580428,19.431297537843108,0.8,0.15,0.4,True,19.431297537843108,0.408,15.545038030274489,High Gain / Low Risk,1.9660282418668775,6.959107671228254,90.01915363799726,91.763510934168,partial_success,0.5,0.14,0.16,1.0,0.5,2.3879328454934696,6.22569401557203,89.16607399718124,91.86298798179948,0.4219046036265919,-0.7334136556562241,-0.85307964081602,0.099477047631467,1.3467879873228623,Neutral / Small Change,57.31157429580428,58.65836228312714,1.3467879873228623,0,1,24.258567227646328,6.797533658569439,30.462587444199347,59.07020337149176,65.54597958983645,100,76.34254831405087,45.01324427926705,Pareto-selected,DEVELOPMENT,Moderate candidate requiring engineering or process optimization,Engineering-Supported Fed-Batch,Engineer / Optimize
CLONE_1371,39.65760656187063,0.7788509888229258,85.93709691190612,87.5227565755037,29.691647453778696,68.50954145376288,Advance with Monitoring,productivity,XBP1s_secretory_support,55.2307711762457,15.573164614375074,0.8,0.15,0.4,True,15.573164614375074,0.408,12.45853169150006,Other,1.4230881262380308,7.327954774503762,96.21443558817444,93.3792263320306,strong_success,1.0,0.14,0.16,1.0,0.5,1.5232330287807918,7.776493585499415,99.13127665528673,95.29346055380314,0.1001449025427609,0.4485388109956529,2.916841067112273,1.9142342217725312,0.8780513291606804,Neutral / Small Change,39.65760656187063,0.7788509888229258,85.93709691190612,87.5227565755037,29.691647453778696,68.50954145376288,Advance with Monitoring,39.65760656187063,0.7788509888229258,85.93709691190612,87.5227565755037,29.691647453778696,68.50954145376288,Advance with Monitoring,productivity,XBP1s_secretory_support,55.2307711762457,15.573164614375074,0.8,0.15,0.4,True,15.573164614375074,0.408,12.45853169150006,Other,39.65760656187063,0.7788509888229258,85.93709691190612,87.5227565755037,29.691647453778696,68.50954145376288,Advance with Monitoring,productivity,XBP1s_secretory_support,55.2307711762457,15.573164614375074,0.8,0.15,0.4,True,15.573164614375074,0.408,12.45853169150006,Other,1.4230881262380308,7.327954774503762,96.21443558817444,93.3792263320306,strong_success,1.0,0.14,0.16,1.0,0.5,1.5232330287807918,7.776493585499415,99.13127665528673,95.29346055380314,0.1001449025427609,0.4485388109956529,2.916841067112273,1.9142342217725312,0.8780513291606804,Neutral / Small Change,55.2307711762457,56.10882250540639,0.8780513291606837,0,1,9.686846150607513,10.87186494329722,97.15672109043915,76.32574439782007,61.11995150168889,100,84.76632027450563,59.03698202699638,Pareto-selected,DEVELOPMENT,Moderate candidate requiring engineering or process optimization,Engineering-Supported Fed-Batch,Engineer / Optimize
