clone_id,titer_mean,titer_std,titer_min,titer_max,vcd_mean,vcd_std,vcd_min,vcd_max,viability_mean,viability_std,viability_min,viability_max,aggregation_mean,aggregation_std,aggregation_min,aggregation_max,titer_slope,vcd_slope,viability_slope,aggregation_slope,titer_p10,vcd_p10,viability_p10,aggregation_p10,titer_slope_3_6,titer_slope_7_10,titer_curvature,vcd_slope_3_6,vcd_slope_7_10,vcd_curvature,viability_slope_3_6,viability_slope_7_10,viability_curvature,aggregation_slope_3_6,aggregation_slope_7_10,aggregation_curvature,qP_mean,qP_p10,titer_cv,vcd_cv,viability_cv,aggregation_cv,culture_mode_fed-batch,culture_mode_perfusion,ddpcr_cn
CLONE_0001,4.157158684841928,0.1928156015975884,3.8609736634300287,4.438495693627053,10783531.090927918,952819.1457364073,9237027.431263827,12253137.874936832,94.61035729740875,1.330749865694325,93.16014012077314,96.69868684539246,4.026948847898674,0.17748458994788183,3.7169153078208583,4.263244018535887,-0.06053607659201437,-163034.6703470935,-0.02876009303965727,0.02652370876488843,3.980869333090542,10821520.52623064,93.87883910888769,4.263244018535887,-0.015590788648792918,-0.10699351141582286,-0.09140272276702995,-441188.6552026499,-273000.05954949156,168188.59565315832,0.6962199239908147,-0.827190301686899,-1.5234102256777136,-0.10939050135063835,-0.004322611217171577,0.10506789013346678,3.855099642026632e-07,3.6786598735743104e-07,0.04638158323237989,0.0883587331183201,0.014065583343026936,0.04407421017935748,True,False,3.0
CLONE_0002,1.1575866503578043,0.1536708992063847,0.9475496122261118,1.357354909935828,13800784.092311896,775918.6107290959,12808314.86573349,15461312.350242898,96.016349659562,1.5347614751612468,92.72035279058944,97.6386799937319,2.841549436406852,0.3749925838633171,2.046847397642889,3.348792706577187,-0.046187197494900446,-92200.83282768208,0.1190675970343521,0.04826448351395787,0.9596320017329542,13538928.481163649,95.3675026306576,2.696898741826827,-0.044537880765477864,-0.1322196218076565,-0.08768174104217864,-428355.7724252728,-176101.39413122003,252254.37829405276,1.0436912944913774,-0.49331007634496304,-1.5370013708363404,0.25347629802308347,-0.061376268047719715,-0.3148525660708032,8.387832478320339e-08,7.087946458008583e-08,0.13275109818011002,0.05622279180219495,0.015984376417005557,0.13196764375337727,False,True,2.0
CLONE_0003,6.755880699648707,0.2841458520101162,6.495961954262946,7.333870029411882,7967045.589137684,893137.8567737004,6594390.4503469765,8969198.823836349,94.21425297379413,1.8507149795767575,90.92349782045666,96.580426421694,5.714731113547135,0.18083667988016125,5.549053535657692,6.094516141163714,-0.09543799224435158,32338.302180787283,-0.053375813192713624,0.026280170345840105,6.495961954262946,8479242.610409398,92.97992964090692,5.636752436514435,-0.2234828429111937,-0.03244882713286329,0.1910340157783304,19530.565708650873,547866.5417619906,528335.9760533398,-0.4676357621847996,-0.10708304545719484,0.36055271672760475,0.03915624780893956,0.006227752940924658,-0.0329284948680149,8.479781650628075e-07,7.66101673549037e-07,0.042059039317084476,0.11210402234818509,0.01964368363746294,0.03164395248970374,True,False,4.0
CLONE_0004,0.8559948656350564,0.19513928998734723,0.6338874734851788,1.1113249419990707,14996080.97428865,646373.2185194335,14027507.18990397,15768688.171528695,97.26520366874126,1.3342648756740036,95.49715821474575,99.7511849515142,7.0894441778478905,0.2554513043517936,6.740294767595895,7.381526704692186,-0.013870691212409275,12142.115887269752,0.20835021081621008,0.05487506563584591,0.6384250647541126,15768688.171528695,99.7511849515142,7.381526704692186,0.045772704668257815,-0.03438904236841742,-0.08016174703667524,82397.01763242802,164352.8345651748,81955.81693274678,-0.13746146847383958,1.1860267623159229,1.3234882307897624,0.17190161073058674,0.0764349908458587,-0.09546661988472804,5.708123789826769e-08,4.04868850096755e-08,0.227967827370795,0.04310280930248809,0.013717802722178301,0.03603262793350707,False,True,3.0
CLONE_0005,3.6458492132329616,0.18431310977389093,3.385108341044698,3.9610069029660857,11484467.913775485,1037869.9290455462,9182656.898990892,12334306.118332397,95.01783946086726,1.768290780522217,92.81341050941603,97.56808360330768,1.094563976158807,0.2680135778181214,0.5995420433348942,1.4674075213290898,-0.02917015956171172,149585.5295337207,0.5872937206265308,0.005470063167140135,3.7114981377663816,11918025.517383542,96.39249926856043,1.371695284226339,-0.18319998456049347,-0.035151140023128795,0.14804884453736467,324129.07546872075,12264.764725382054,-311864.3107433387,0.6276998137969834,0.7826125297587034,0.15491271596172007,-0.05344335571287165,-0.08587949504163725,-0.0324361393287656,3.1745913181226337e-07,3.1141887826576794e-07,0.05055423275717341,0.09037161641599722,0.018610092489335865,0.24485875966228338,True,False,4.0
CLONE_0006,11.05623566722192,0.27736083837574227,10.774659410772037,11.523079205031562,5174669.434789717,1062008.1548315242,3508408.372442928,6851526.842997489,90.77375218439971,1.2158114900233987,88.89899221315213,92.31997778451002,3.993140950353235,0.291981717500861,3.4605508664654034,4.4667636213238,-0.1082315688210466,292686.8684162361,-0.14854769075857593,0.02999338413692876,10.784278726813765,5865494.147656176,91.48435973558762,3.81179405083226,-0.12004090025505822,-0.04646236991291021,0.07357853034214801,590328.4277938902,350366.62086493184,-239961.8069289584,-0.09318616824259723,0.9845184647609295,1.0777046330035267,-0.031443351037348286,-0.028971038551711306,0.0024723124856369794,2.136607141103538e-06,1.8385967925861985e-06,0.025086371772350964,0.20523207679539066,0.013393866186562166,0.0731208141806042,True,False,3.0
CLONE_0007,1.23092005458031,0.10237952130195509,1.1342836989478782,1.4629700670505783,14515150.393179301,600940.5155391692,13915695.500387251,15734982.138840422,95.60482746047522,1.5158905764428954,93.90140951068817,97.60818202559165,3.2918730385374646,0.28416544628439466,2.8811468779296416,3.6864772331954447,0.00764917063488344,-47992.15987505571,0.1510452568519659,0.0004961573281842384,1.2067317879092874,14207150.390498001,94.49799879957814,2.985761361285885,0.08934334847815202,-0.01007004500210493,-0.09941339348025695,8152.896530525828,-427602.3112688192,-435755.207799345,1.2840074559578265,-0.08289968235154772,-1.3669071383093743,-0.1141417353678947,-0.10160465870853358,0.012537076659361115,8.480243202707164e-08,8.493834123951917e-08,0.0831731685886691,0.04140091554418563,0.015855795326378642,0.08632333108579493,True,False,4.0
CLONE_0008,1.5295039838301099,0.13058567413018451,1.2587761383419478,1.6737883903663509,14247924.965369692,789054.2912980388,12995307.691531878,15142306.644887375,95.96947832219259,1.3941837364331464,94.2477134959066,98.0081709237455,7.559293592149374,0.26621388403915786,7.099756714596166,7.9005273566039715,-0.0217210930785271,15865.57397007115,0.1893296393366411,-0.04089674452307582,1.5130728086972218,15019803.020164788,95.45213810085927,7.099756714596166,-0.0071472897226215765,0.001606338003483222,0.008753627726104798,-49181.65409572263,78363.76538634024,127545.41948206286,0.9425254226679478,0.19485957938131174,-0.7476658432866361,-0.11260151736727077,-0.16028692099729056,-0.04768540363001979,1.0734924471792538e-07,1.0073852544310006e-07,0.08537779268662013,0.05538029525112431,0.0145273660000319,0.035216767381599616,True,False,3.0
CLONE_0009,2.839430827416129,0.1595375305987933,2.6012594251246908,3.018859569381863,12269959.515577752,734629.6317494498,11048923.29822876,13247572.301628359,96.36220926547375,1.3002648692248155,94.3168337392447,97.79391907796806,8.59893454083357,0.40743923557104883,7.797793164711842,9.142275913877782,-0.025119678768097783,17602.655821074328,0.11068868193247082,0.057720938612485506,2.6745972927869004,12660280.467233192,96.56482918531971,8.777386125025272,0.035652633959610436,-0.10544970024436892,-0.14110233420397936,195151.6371831736,-203384.06808105562,-398535.7052642292,0.03099281021222564,0.22490393369921705,0.1939111234869914,-0.2399661521860321,0.011634267534816844,0.25160041972084896,2.3141321891170307e-07,2.1125892903472248e-07,0.05618644729858955,0.05987221317370894,0.013493514512822637,0.04738252554300403,True,False,5.0
CLONE_0010,1.6603478833442786,0.13032594037398768,1.4985959451878361,1.8531919439507807,14087898.602307852,936396.3738001172,13223958.537231468,15938866.56610075,96.55078844063961,1.0011847814802644,95.33853150941277,98.0056924470447,4.60937333779586,0.19832134566754636,4.3551683691181315,4.916975461549016,0.0006956952824526677,-36675.48481962737,-0.04830407638393991,-0.005618255321685805,1.4985959451878361,14270598.823827205,97.75483820557508,4.5137294317341325,-0.056926780310393554,-0.020218545476361174,0.03670823483403238,894040.2626726213,194441.0160837014,-699599.2465889199,0.20366869766524787,0.3854061066515065,0.18173740898625862,0.11219736481723175,-0.11198770099838443,-0.22418506581561617,1.1785631982560432e-07,1.0501282838150237e-07,0.07849315291262428,0.06646813696165575,0.010369514300604942,0.04302566337994988,True,False,3.0
