clone_id,titer_mean,titer_std,titer_min,titer_max,vcd_mean,vcd_std,vcd_min,vcd_max,viability_mean,viability_std,viability_min,viability_max,aggregation_mean,aggregation_std,aggregation_min,aggregation_max,titer_slope,vcd_slope,viability_slope,aggregation_slope,productivity_drop_pct,late_mean_titer,late_mean_aggregation
CLONE_0001,2.5380670592182257,0.2930363368119257,2.223711463882563,2.9645141141412226,11076186.58160651,905255.6255543324,9779103.118757073,12322578.81504575,94.85145510273276,1.2712414719203953,93.42190122918916,97.38670920750384,8.356812258322368,0.4038479102433181,7.723454809312709,8.894030123445615,-0.103703442018181,102268.66574714235,0.1697335983966875,-0.01922528525669,0.3870631551695367,1.555674815245352,8.13730745681138
CLONE_0002,0.81472050849529,0.213006967188807,0.5379805003545031,1.132518098327722,14410912.695149075,1047018.8790687898,13460699.126618952,16053412.737830868,97.55182400237264,1.3489220089543357,95.75345444090316,99.57381188401368,7.3371881368681615,0.4499252418110859,6.7985309863211105,8.011004322198874,-0.0050351751439982,279733.38179440406,0.1988608399157817,-0.0238186332962532,0.1351564312699293,0.7046057920846445,7.603613079128712
CLONE_0003,3.912551548505904,0.2086970806722557,3.621955705194525,4.261524333493666,8684125.782451367,583411.9632667297,7780119.944956476,9384241.42072507,94.39068771087456,2.6074916131658217,90.73634753614996,98.77468292378872,2.235351548927711,0.326064015049045,1.745531621708644,2.861835858284078,-0.0581173709362206,51853.80596558355,0.5053442305800478,0.0385834727463214,0.3352580632197188,2.6008370941065033,2.209127218272543
CLONE_0004,0.4883692612579035,0.1603117283891195,0.2129155935440902,0.7476088286184843,15117250.404283931,781766.4883643818,14054528.183675738,16064249.61049572,96.38053429192595,1.7301056388627487,94.23733067117148,98.96809551940504,3.860240332256531,0.3051282795281341,3.3575738170881717,4.286918326710031,-0.0266707630418458,278866.45637414,0.5046417568080341,0.0518335525081453,0.5906328819376505,0.19992231703138663,4.120720376018184
CLONE_0005,2.238288625680166,0.1606719725538273,2.033612283599261,2.459557069918505,11171945.417135956,1167195.978358509,8874346.437064504,12390301.247861288,95.08523782768212,1.3263549625003497,93.0263147889734,96.87061909020127,3.231716947994531,0.4051574481709423,2.620058131032303,4.001487558358194,-0.0340585769298355,391064.58372066607,0.2334460422409998,-0.1292120007237016,0.2917565194320297,1.5852533267674198,3.213549004989255
CLONE_0006,7.219658705057141,0.1928686850228574,7.0283035340422835,7.516550637590819,4895554.719125234,1140795.9864538512,2881554.1154196886,6096464.310918037,90.4163813259718,2.4072809408862015,85.73183160971176,93.03868611382036,4.840260718689008,0.2458690086193157,4.337350968011925,5.200499172530496,-0.0486721647639603,296800.0306949594,0.3888681083281276,-0.006885287416359,0.1549493799374197,6.100977065348742,4.9923254596069
CLONE_0007,0.7905129588532561,0.100308279345512,0.6625501579221401,0.9583187724968836,14661933.797870344,757061.063390941,13364584.663564,15673792.01543548,96.05474737877609,1.1876203494474356,94.72205819644766,98.41553041140524,3.1700801391608895,0.3641118490714628,2.731831032594727,3.79890855846039,-0.0172676926625517,78700.01357745261,0.0178393463368638,-0.0251728733093405,0.2924346968532391,0.559339541372447,3.8482244670562173
CLONE_0008,1.081265591561898,0.10192803945735,0.98455257620558,1.2618800982087164,14233800.774767738,820142.4993130876,13296759.990306623,15254533.742152784,96.39346723863724,1.3464921550530968,94.33834969023395,98.09414636003994,8.474821671018503,0.4416890113707529,7.906898761081611,9.12218937656504,0.0069504400984966,22863.910790018796,0.3155747668396472,-0.0700857062700592,0.058370035702565,1.0181520803784747,8.789662291950869
CLONE_0009,1.373601756053082,0.1851708199604861,1.077914790270745,1.579805846866314,12803094.292590087,705879.0118215387,12127613.830284549,14252301.305506185,95.58434620272143,2.3755007651331863,92.84772660064765,100.0,1.4697469110273629,0.3699271009368475,0.7245332752732193,1.8434072644466064,-0.0522216885905378,15908.505920950936,0.6269613870932756,-0.0785850231941092,0.487644983072446,0.7037717509742947,1.961397965901731
CLONE_0010,1.125871145965595,0.1756998794083727,0.840145390692673,1.3268775951448373,14206394.202333312,1170914.6558112856,12009885.7117648,15185443.93862878,96.518307961381,1.7460947774928794,94.64361896083425,99.3888564720663,1.2364359156281526,0.2138361554111505,0.7886534513097704,1.489959492365818,-0.0681355990245322,23685.2243229101,0.5130298541974656,0.0150406345699843,0.2492614922121489,0.8452348240836084,1.4846924784060087
CLONE_0011,0.4553105330779973,0.1238622793583332,0.256373771612884,0.5880900981631115,15443719.993058564,743572.4524101624,14007803.841903403,16325347.94926484,96.76632983256134,1.929020935910445,93.7178061903459,100.0,5.391458846414594,0.3692593304590681,5.0646102798904655,6.233751256027543,-0.0013681972153314,181419.93838477455,0.5521238446628571,0.0625310031593068,0.7550380151089328,0.11153377192459615,5.604065340918806
CLONE_0012,1.513898845301654,0.152735293394376,1.2903660683431704,1.7330945489191525,12756275.575251264,843981.5337417383,11630294.49592808,13862973.588669382,95.46652834255208,0.8361322562887553,94.4090938564487,96.91963938533776,4.882515541323435,0.1488826573621055,4.656004898140586,5.12524104905793,-0.0101256660357464,-10429.651482725676,-0.0077064502797361,0.0065596218056615,0.2743815923028772,1.098512869542299,5.089937591432867
