clone_id,productivity,stability,quality_potential,G_platform,platform_group,CN_true,CN_obs,k_decay_i
CLONE_0001,146.34659280889053,0.7823716947794488,0.8571759050957412,0.7040976780570664,1,3,3,0.03923195612105184
CLONE_0002,41.7067365249057,0.6664726975378055,0.8928096587662305,0.7604620083592873,1,2,2,0.030557650364066956
CLONE_0003,242.3761872604786,0.688183798056454,0.7732168323419901,0.7637582736825677,1,4,4,0.03364852642440018
CLONE_0004,31.368152685688777,0.6901924697737727,0.6822714079547051,0.6834317087477472,1,3,3,0.02940317479611192
CLONE_0005,134.15698179562253,0.5209753411415688,0.995180378930044,0.6824609145248397,1,4,4,0.034596283475166016
CLONE_0006,390.4310435223376,0.7213720169417563,0.8898137058421014,0.710805924887036,1,3,3,0.03482232600986105
CLONE_0007,44.85298166037037,0.6928639550666725,0.8786640775354928,0.7166802747556459,1,4,4,0.03169696694948829
CLONE_0008,56.72292284777234,0.6862405662016122,0.6585275937479278,0.7134234939072256,1,3,3,0.035131305811780526
CLONE_0009,96.75115057859543,0.8906281911884618,0.6131543608294816,0.7391633705747039,1,4,5,0.03251556886379518
CLONE_0010,60.00702189434823,0.6979826259260367,0.8030395495540466,0.7626543820811214,1,3,3,0.03226652653784534
CLONE_0011,26.370054187662934,0.6986901093313463,0.7253456977228223,0.7223003104949915,1,2,1,0.02847952426798507
CLONE_0012,88.3063042939074,0.7408777362052044,0.8951221359834315,0.7063458787844875,1,3,3,0.03334922430145545
CLONE_0013,37.41578993011917,0.6346198409894923,0.9180691020754649,0.7543481047701327,1,2,1,0.029801322163798334
CLONE_0014,117.73203888973674,0.8166899107859018,0.8154989237200262,0.7226621381634826,1,3,3,0.037028665428531546
CLONE_0015,41.143847884223156,0.8035775169490114,0.9373165277980186,0.7342119835597855,1,2,2,0.028638731493755294
CLONE_0016,250.00234891696448,0.8567555496787371,0.8344409408929317,0.7211411226628702,1,3,3,0.03383737794595651
CLONE_0017,40.551780030611134,0.7787239823711418,0.6915285181085293,0.740966027033664,1,1,1,0.031253976611823164
CLONE_0018,71.32056591726429,0.9210587948747252,0.7680894522186534,0.7001294531632242,1,4,4,0.03382459922936632
CLONE_0019,139.01242684462866,0.9407555799559068,0.8361774502259105,0.7519315974080487,1,2,2,0.03221702437062465
CLONE_0020,33.050479261056815,0.7607423724030389,0.9518801389650577,0.7300908376142862,1,2,2,0.02874718219374689
CLONE_0021,104.98315659276592,0.9038658224519088,0.8327433946644429,0.7079301749816793,1,4,4,0.038294561122791906
CLONE_0022,212.26539129583088,0.7340448727747073,0.7235203981969675,0.7464258407833534,1,3,4,0.028450472314535798
CLONE_0023,29.059117842471647,0.5915523779970631,0.9439220213651387,0.7079005581444836,1,4,5,0.03578848639885583
CLONE_0024,88.55992743265178,0.5046371580745993,0.8665315642663485,0.7092695545168051,1,2,2,0.02519090736075645
CLONE_0025,107.02498396016001,0.8070886936177559,0.9969405939119345,0.6941956810707756,1,4,3,0.03112158990356295
CLONE_0026,144.4595729948289,0.7784905762885146,0.812061375437389,0.6779709487796958,1,3,3,0.04087906230371396
CLONE_0027,35.76592782582891,0.8658752192666723,0.6536529568015665,0.746521007262815,1,3,3,0.031184551237135663
CLONE_0028,36.0274301818408,0.8136455092874856,0.9839610269166852,0.764019204220627,1,4,4,0.032973724350608226
CLONE_0029,112.37803149190486,0.4974184549527396,0.7241438559157737,0.7175639747241578,1,2,3,0.04133178039397325
CLONE_0030,110.18955630864849,0.5905288034313264,0.843155315625195,0.7068696988250839,1,4,5,0.031811142838699825
CLONE_0031,99.50183188720086,0.7743540244632507,0.8262916824059228,0.6744004414865052,1,3,2,0.03378750343354078
CLONE_0032,106.09597498033772,0.9350486486053342,0.8034781599855748,0.6623976513986198,1,3,3,0.0355854171037268
CLONE_0033,48.86626003362235,0.9615138997763868,0.7903464215167859,0.7519444207781857,1,2,2,0.0264243568336186
CLONE_0034,98.10824830874549,0.7668712680537086,0.5498102367954526,0.6690516253411524,1,3,3,0.030217260826089016
CLONE_0035,95.22797615017242,0.6924095189830256,0.6571149585666851,0.6960186202307463,1,2,2,0.03313932651677582
CLONE_0036,54.7284216065038,0.538057601825916,0.9720313291653222,0.7393349271962176,1,4,4,0.025581294283283245
CLONE_0037,312.8416333472706,0.7052173967791331,0.8716486154285007,0.7336959665650632,1,3,3,0.03991334667578353
CLONE_0038,118.27891805805915,0.6216878499849094,1.0,0.7405262148086532,1,3,3,0.03640485961155576
CLONE_0039,33.98847785261604,0.9227841716448755,0.6570614204123377,0.7312625966058078,1,2,3,0.03560060468823157
CLONE_0040,133.7428864463107,0.604162438491417,0.8007361311118916,0.7204028942477001,1,3,3,0.03961625669474433
CLONE_0041,45.122050276349086,0.6432933738806166,0.9717219435469744,0.696211159676331,1,4,4,0.03622418488115887
CLONE_0042,146.22959015439878,0.8917501442434361,0.7191932361920348,0.7119509997832281,1,3,3,0.031398387212582174
CLONE_0043,190.15891915663636,0.4889227891806564,0.7328364268968206,0.7224491382390426,1,3,3,0.025442055951913737
CLONE_0044,52.52096179876592,0.7767415733523442,0.7459375095649338,0.6718245243020365,1,5,6,0.029343125796896328
CLONE_0045,165.2411514884549,0.6504482491034029,0.7365589583123661,0.70724676522831,1,3,3,0.02947093399646543
CLONE_0046,104.17270952439075,0.7820827490621439,0.8907884612111033,0.7199406480824811,1,2,2,0.035661024291907525
CLONE_0047,149.7906242821266,0.87809290263186,0.5367818390552986,0.7102616783339035,1,3,3,0.03289676264504046
CLONE_0048,318.68248693652754,0.6497628137066815,1.0,0.7208369247343408,1,3,3,0.025698152829731268
CLONE_0049,71.6676009098268,0.6215878324198101,0.6658723181261036,0.7503180288787861,1,3,3,0.03700340380007821
CLONE_0050,46.429777111721855,0.4954932677390739,0.49851476332572375,0.7537517486556888,1,2,2,0.03967196186852257
CLONE_0051,48.82515123640319,0.8224547398810461,0.8072614815364618,0.7732409963848493,1,4,4,0.040551425434580436
CLONE_0052,47.287695526811,0.5744259454465261,0.7433157931518041,0.6843454998814945,1,3,4,0.027433117107608537
CLONE_0053,73.90384446912158,0.9160367619280952,0.7841013917377798,0.7184706655735593,1,2,2,0.03410607852379636
CLONE_0054,108.46852473883463,0.6604784665672456,0.8590142218633597,0.7656908185694856,1,3,3,0.027946292686287896
CLONE_0055,107.81601527844481,0.7655198573963705,0.8910257712194325,0.676588906899871,1,4,4,0.043472032245741754
CLONE_0056,149.75601417509176,0.4606792913588947,1.0,0.6949926959690478,1,3,3,0.03264940792423758
CLONE_0057,85.06889890221862,0.7151520327192291,0.7006305250548319,0.712516919397092,1,3,3,0.0307445308970288
CLONE_0058,219.49516027341085,0.8351800301420969,0.9372141829572954,0.7869518000400244,1,2,2,0.029907456974196542
CLONE_0059,74.26780988148465,0.6465591875041096,0.9043568914062232,0.7013678799639836,1,4,4,0.034169907486625885
CLONE_0060,529.3695564342066,0.6489420705305265,0.4211799007014937,0.7617999454077773,1,2,2,0.03511337929904732
CLONE_0061,131.2044582252808,0.6714782190704387,0.6818302105361077,0.7302350542592434,1,3,3,0.025381778604894642
CLONE_0062,48.987726760976344,0.6107743975852544,0.6041549507349677,0.6959386241717597,1,4,5,0.04007568027080039
CLONE_0063,40.76972497125009,0.764808773771398,0.8852581837306664,0.8053342811291705,1,3,3,0.03487872515331984
CLONE_0064,109.84157789587677,0.7310858552759486,0.8642156756398419,0.7367602268227055,1,2,2,0.0400273812611338
CLONE_0065,67.10082755036996,0.3545799181277455,0.8680180776262167,0.7420077893456429,1,2,2,0.04200741235105547
CLONE_0066,149.0121133219664,0.7878695443107129,0.7589514986161672,0.7465273132800766,1,4,4,0.032018950989783225
CLONE_0067,109.34025995015975,0.7360485006723454,0.7839622429606788,0.7443198173070948,1,2,2,0.0369577788184189
CLONE_0068,86.83653455091044,0.7775521910686881,0.8069714796189555,0.7896490040619899,1,4,4,0.029810854582800615
CLONE_0069,47.39755989785209,0.6789404943958852,0.7541643631487166,0.7803816070703582,1,3,3,0.030298022848243775
CLONE_0070,26.90747367705999,0.8187923142316553,0.9250123497085673,0.7027150311080405,1,2,2,0.04114477251958106
CLONE_0071,62.81835514834939,0.47700052358380846,0.6547706652797928,0.7863073093604034,1,3,3,0.02908941978663011
CLONE_0072,171.51868530981162,0.8676287067241417,0.6783802528220858,0.7099168114031358,1,5,5,0.03347203794212755
CLONE_0073,119.32201663630336,0.7562493577294305,0.8126773434404369,0.7404552629036659,1,7,7,0.028362747778961816
CLONE_0074,35.014288226204386,0.62826231645228,0.7450101754612561,0.6861696360359844,1,3,2,0.029456049156745552
CLONE_0075,96.31130504014725,0.6553517147314349,0.645033740959325,0.7605124339553285,1,3,3,0.030128512168722588
CLONE_0076,102.2391872103314,0.7572544501271873,0.8911012497817695,0.7218979823320245,1,2,2,0.040379085428858874
CLONE_0077,41.77837057486073,0.8166545704841215,0.7215609970586624,0.6958423248077994,1,2,2,0.03510365792733843
CLONE_0078,87.8723625475651,0.69492855210175,0.6910152380822554,0.7646375298053584,1,2,2,0.03687445049586767
CLONE_0079,89.10287847610972,0.8866120168864859,0.786805909385381,0.7712583514557585,1,3,3,0.02478445568244506
CLONE_0080,38.443525758058435,0.7346289993637136,0.6791098242354975,0.7721542405710328,1,3,3,0.032669350828611665
CLONE_0081,114.32108260160864,0.6927894522736208,0.7902626976287619,0.6838577013467817,1,4,4,0.030687821753112098
CLONE_0082,126.78569701567376,0.4873944257018851,0.7595501583700691,0.7748724732564413,1,3,3,0.0349909182386261
CLONE_0083,191.7624405429571,0.8786449469546134,0.7242398387731888,0.7221040838925648,1,4,4,0.04662882768071109
CLONE_0084,179.58981803474023,0.7601934717843373,0.7393939240409483,0.787132304286866,1,3,3,0.022706617880452955
CLONE_0085,32.43161986529613,0.7234699431254992,0.9589792735373677,0.7490859077065253,1,3,3,0.03450683639090625
CLONE_0086,44.00727232179666,0.6641050895653462,0.8634176118299356,0.7384059157378775,1,3,3,0.0452389268953143
CLONE_0087,112.22104226257507,0.5023412536576327,0.5563447462124015,0.7313098060884442,1,2,2,0.0301074278068966
CLONE_0088,112.10460470243956,0.8358796576057151,0.9450740016166211,0.730655443804765,1,2,2,0.03323873615348984
CLONE_0089,120.83218205985776,0.7346894013190128,0.8813406663447011,0.7105533123141566,1,3,3,0.03597145037153082
CLONE_0090,1151.286960291613,0.6048063760359428,0.8764181507233769,0.6984210747998909,1,2,2,0.023520125959846473
CLONE_0091,116.37283513010664,0.6972001791016583,0.9442488247771581,0.7202295840850507,1,2,1,0.03382390290220782
CLONE_0092,189.1049952396655,0.6472750541749186,0.8142339145606112,0.7647019749759296,1,3,4,0.0288505881660442
CLONE_0093,163.3699383235976,0.7371707278764674,0.8934776684749507,0.6879400230370326,1,3,3,0.04418588560678615
CLONE_0094,134.879923179972,0.8085637089322784,0.7429113814918599,0.7687203979513966,1,3,2,0.031504626507327396
CLONE_0095,72.29272748155846,0.6305000446813165,0.9302382382931149,0.7352663254028011,1,4,4,0.029215198014943166
CLONE_0096,144.87591708012607,0.705012340673657,0.8430120829141889,0.7534729125366881,1,3,4,0.036900859095290825
CLONE_0097,52.73847806872305,0.8804274036572054,0.5995035220963465,0.7549101900694167,1,4,4,0.03496830209282774
CLONE_0098,66.73509074587896,0.6600614426284198,0.9721168342485362,0.7575422322154449,1,2,2,0.03717476906198609
CLONE_0099,60.30446503008634,0.5357759034572371,0.7876962247206296,0.7317187283905672,1,3,3,0.04328489225182433
CLONE_0100,89.71991065364976,0.655037385428213,0.7669456265875673,0.7325994677509475,1,3,3,0.029768744166897593
CLONE_0101,430.79886042975915,0.49729339085927554,0.74436360611552,0.7565974162293553,1,3,3,0.042059928250181546
CLONE_0102,22.73627922881346,0.8904815820728287,0.7467594928207678,0.6992661525493457,1,3,3,0.04307131777538991
CLONE_0103,135.66875252352926,0.5497339493850866,0.8358813234101601,0.6944127558098934,1,3,3,0.028961430046026998
CLONE_0104,27.29254864821332,0.9200366832509539,0.6567074428054143,0.7171355286840482,1,3,3,0.029385269786412847
CLONE_0105,56.35288693321296,0.5009801283896193,0.5786562918662872,0.7394695920801094,1,2,2,0.03273102705242404
CLONE_0106,195.5504687546165,0.7361184769130151,0.6507160035928958,0.7838306180434739,1,4,4,0.03154100653701477
CLONE_0107,81.87815459411298,0.7458590875293554,0.8701561297664651,0.732471319425479,1,2,2,0.04199700754574577
CLONE_0108,37.3060959325134,0.7901715257103001,0.7966128572158193,0.7858388331578045,1,2,2,0.028549841481129035
CLONE_0109,51.52230959626638,0.7770107056444584,0.9761510157153819,0.7459862283415531,1,3,3,0.033714867554213955
